timestamp,heart_rate,enhanced_speed,cadence,power,position_lat,position_long,distance,temperature,fractional_cadence,enhanced_altitude,enhanced_respiration_rate,accumulated_power,unknown_field_0,unknown_field_1,unknown_field_4,unknown_field_8,unknown_field_90,unknown_field_134,unknown_field_137,unknown_field_138,unknown_field_144
Timestamp(2025-03-11T15:25:20+01:00),123,,88,162,,,0.0000,SInt8(19),0.0000,563.2000,25.3800,11433,,,,,,100,100,100,123
Timestamp(2025-03-11T15:25:21+01:00),123,,87,201,,,0.0000,SInt8(19),0.0000,563.4000,25.3800,11634,,,,,,100,100,100,123
Timestamp(2025-03-11T15:25:22+01:00),124,,88,163,,,0.0000,SInt8(19),0.0000,563.4000,25.3800,11797,,,,,,100,100,100,124
Timestamp(2025-03-11T15:25:23+01:00),124,,87,184,,,0.0000,SInt8(19),0.0000,563.4000,24.7900,11981,,,,,,,100,100,124
Timestamp(2025-03-11T15:25:24+01:00),124,,87,213,,,0.0000,SInt8(19),0.0000,563.6000,24.7900,12194,,,,,,,100,100,124
Timestamp(2025-03-11T15:25:25+01:00),125,,88,204,,,0.0000,SInt8(19),0.0000,563.6000,24.7900,12398,,,,,,100,100,100,125
Timestamp(2025-03-11T15:25:26+01:00),125,7.4550,89,189,551083721,174121631,0.0000,SInt8(19),0.0000,563.6000,24.7900,12587,,,,,,100,100,100,125
Timestamp(2025-03-11T15:25:27+01:00),126,7.3150,89,180,551084499,174121889,7.4100,SInt8(19),0.0000,563.6000,24.7900,12767,,,,,,100,100,100,126
Timestamp(2025-03-11T15:25:28+01:00),127,7.3150,89,189,551085305,174122223,15.1400,SInt8(19),0.0000,563.8000,24.7900,12956,,,,,,100,100,100,127
Timestamp(2025-03-11T15:25:29+01:00),127,7.1190,88,182,551086066,174122417,22.3800,SInt8(19),0.0000,563.8000,24.4000,13138,,,,,,100,100,100,127
Timestamp(2025-03-11T15:25:30+01:00),128,7.5390,88,173,551086830,174122758,29.6300,SInt8(19),0.0000,563.8000,24.4000,13311,,,,,,100,100,100,128
Timestamp(2025-03-11T15:25:31+01:00),128,7.4930,88,192,551087648,174122935,37.4600,SInt8(19),0.0000,563.8000,24.4000,13503,,,,,,100,100,100,128
Timestamp(2025-03-11T15:25:32+01:00),129,7.5950,88,194,551088467,174123074,45.2200,SInt8(19),0.0000,564.0000,24.4000,13697,,,,,,100,100,100,129
Timestamp(2025-03-11T15:25:33+01:00),129,7.5300,88,187,551089271,174123187,52.6000,SInt8(19),0.0000,564.0000,24.1400,13884,,,,,,100,100,100,129
Timestamp(2025-03-11T15:25:34+01:00),129,7.5490,88,181,551090094,174123268,60.2400,SInt8(19),0.0000,564.0000,24.1400,14065,,,,,,100,100,100,129
Timestamp(2025-03-11T15:25:35+01:00),128,7.4740,88,190,551090918,174123320,67.9900,SInt8(19),0.0000,564.2000,24.1400,14255,,,,,,100,100,100,128
Timestamp(2025-03-11T15:25:36+01:00),128,7.5020,88,180,551091737,174123364,75.7900,SInt8(19),0.0000,564.2000,24.1400,14435,,,,,,100,100,100,128
Timestamp(2025-03-11T15:25:37+01:00),128,7.4460,88,182,551092533,174123366,83.0900,SInt8(19),0.0000,564.4000,24.1400,14617,,,,,,100,100,100,128
Timestamp(2025-03-11T15:25:38+01:00),128,7.2500,87,181,551093326,174123309,90.4200,SInt8(19),0.0000,564.4000,24.1400,14798,,,,,,100,100,100,128
Timestamp(2025-03-11T15:25:39+01:00),129,7.3250,86,167,551094139,174123222,97.6500,SInt8(19),0.0000,564.6000,23.5700,14965,,,,,,100,100,100,129
Timestamp(2025-03-11T15:25:40+01:00),130,7.2030,86,160,551094942,174123114,104.9000,SInt8(19),0.0000,564.6000,23.5700,15125,,,,,,100,100,100,130
Timestamp(2025-03-11T15:25:41+01:00),130,7.1750,86,217,551095767,174122999,112.7300,SInt8(19),0.0000,564.8000,23.5700,15342,,,,,,100,100,100,130
Timestamp(2025-03-11T15:25:42+01:00),130,7.1750,85,208,551096587,174122895,120.2700,SInt8(19),0.0000,564.8000,23.5700,15550,,,,,,100,100,100,130
Timestamp(2025-03-11T15:25:43+01:00),130,7.1570,84,182,551097407,174122794,128.2000,SInt8(19),0.0000,565.0000,24.7700,15732,,,,,,,100,100,130
Timestamp(2025-03-11T15:25:44+01:00),131,7.1570,84,181,551098211,174122710,135.7600,SInt8(19),0.0000,565.0000,24.7700,15913,,,,,,100,100,100,131
Timestamp(2025-03-11T15:25:45+01:00),131,7.0450,84,195,551098992,174122616,143.1000,SInt8(19),0.0000,565.0000,24.7700,16108,,,,,,100,100,100,131
Timestamp(2025-03-11T15:25:46+01:00),131,7.0630,84,191,551099782,174122507,150.7700,SInt8(19),0.0000,565.2000,24.7700,16299,,,,,,100,100,100,131
Timestamp(2025-03-11T15:25:47+01:00),131,7.0350,83,210,551100546,174122412,158.3500,SInt8(19),0.0000,565.2000,24.7700,16509,,,,,,100,100,100,131
Timestamp(2025-03-11T15:25:48+01:00),131,7.0910,84,206,551101292,174122340,165.4300,SInt8(19),0.0000,565.2000,24.7700,16715,,,,,,100,100,100,131
Timestamp(2025-03-11T15:25:49+01:00),131,7.1190,84,178,551102024,174122227,172.0400,SInt8(19),0.0000,565.2000,26.7500,16893,,,,,,100,100,100,131
Timestamp(2025-03-11T15:25:50+01:00),132,7.0350,84,224,551102770,174122127,179.0300,SInt8(19),0.0000,565.4000,26.7500,17117,,,,,,100,100,100,132
Timestamp(2025-03-11T15:25:51+01:00),131,6.9330,83,210,551103512,174122028,185.9200,SInt8(19),0.0000,565.4000,26.7500,17327,,,,,,100,100,100,131
Timestamp(2025-03-11T15:25:52+01:00),131,6.9330,82,223,551104263,174121946,192.5700,SInt8(19),0.0000,565.4000,26.7500,17550,,,,,,100,100,100,131
Timestamp(2025-03-11T15:25:53+01:00),132,6.9890,82,201,551105046,174121840,200.0300,SInt8(19),0.0000,565.4000,27.2800,17751,,,,,,100,100,100,132
Timestamp(2025-03-11T15:25:54+01:00),132,6.9980,83,190,551105817,174121753,207.0800,SInt8(19),0.0000,565.6000,27.2800,17941,,,,,,100,100,100,132
Timestamp(2025-03-11T15:25:55+01:00),133,6.9510,83,198,551106596,174121680,214.4900,SInt8(19),0.0000,565.6000,27.2800,18139,,,,,,100,100,100,133
Timestamp(2025-03-11T15:25:56+01:00),133,6.9790,83,197,551107368,174121596,222.1400,SInt8(19),0.0000,565.8000,27.2800,18336,,,,,,100,100,100,133
Timestamp(2025-03-11T15:25:57+01:00),134,6.9790,83,179,551108114,174121539,229.4200,SInt8(19),0.0000,565.8000,27.2800,18515,,,,,,100,100,100,134
Timestamp(2025-03-11T15:25:58+01:00),133,6.8770,83,231,551108825,174121466,236.0600,SInt8(19),0.0000,566.0000,29.2100,18746,,,,,,,100,100,133
Timestamp(2025-03-11T15:25:59+01:00),133,7.1290,83,193,551109575,174121447,242.8400,SInt8(19),0.0000,566.0000,29.2100,18939,,,,,,100,100,100,133
Timestamp(2025-03-11T15:26:00+01:00),133,7.0820,83,212,551110319,174121431,249.8000,SInt8(19),0.0000,566.2000,29.2100,19151,,,,,,100,100,100,133
Timestamp(2025-03-11T15:26:01+01:00),133,7.1940,84,224,551111082,174121430,256.7800,SInt8(19),0.0000,566.2000,29.2100,19375,,,,,,100,100,100,133
Timestamp(2025-03-11T15:26:02+01:00),133,7.2130,83,210,551111842,174121465,263.7900,SInt8(19),0.0000,566.2000,29.2100,19585,,,,,,100,100,100,133
Timestamp(2025-03-11T15:26:03+01:00),133,7.0820,84,195,551112592,174121463,270.6800,SInt8(19),0.0000,566.2000,29.2100,19780,,,,,,100,100,100,133
Timestamp(2025-03-11T15:26:04+01:00),133,7.2030,84,199,551113358,174121512,277.7600,SInt8(19),0.0000,566.2000,30.8900,19979,,,,,,100,100,100,133
Timestamp(2025-03-11T15:26:05+01:00),133,7.0910,84,182,551114123,174121507,284.9900,SInt8(19),0.0000,566.4000,30.8900,20161,,,,,,100,100,100,133
Timestamp(2025-03-11T15:26:06+01:00),133,7.1010,84,192,551114890,174121529,291.8400,SInt8(19),0.0000,566.4000,30.8900,20353,,,,,,100,100,100,133
Timestamp(2025-03-11T15:26:07+01:00),133,7.2690,85,174,551115696,174121612,298.9800,SInt8(19),0.0000,566.6000,30.8900,20527,,,,,,100,100,100,133
Timestamp(2025-03-11T15:26:08+01:00),133,7.1660,86,179,551116507,174121660,306.4700,SInt8(19),0.0000,566.6000,30.8900,20706,,,,,,100,100,100,133
Timestamp(2025-03-11T15:26:09+01:00),133,7.4270,86,189,551117363,174121766,314.5600,SInt8(19),0.0000,566.6000,32.0100,20895,,,,,,100,100,100,133
Timestamp(2025-03-11T15:26:10+01:00),133,7.4180,87,191,551118197,174121862,322.4100,SInt8(19),0.0000,566.6000,32.0100,21086,,,,,,100,100,100,133
Timestamp(2025-03-11T15:26:11+01:00),133,7.3990,86,182,551119022,174121973,330.1500,SInt8(19),0.0000,566.6000,32.0100,21268,,,,,,100,100,100,133
Timestamp(2025-03-11T15:26:12+01:00),134,7.2590,87,179,551119829,174122084,337.7900,SInt8(19),0.0000,566.8000,32.0100,21447,,,,,,100,100,100,134
Timestamp(2025-03-11T15:26:13+01:00),135,7.1750,86,185,551120627,174122191,345.3900,SInt8(19),0.0000,566.8000,33.5400,21632,,,,,,100,100,100,135
Timestamp(2025-03-11T15:26:14+01:00),135,7.2030,86,192,551121424,174122304,353.0200,SInt8(19),0.0000,566.8000,33.5400,21824,,,,,,100,100,100,135
Timestamp(2025-03-11T15:26:15+01:00),135,7.2780,86,172,551122203,174122385,360.6700,SInt8(18),0.0000,566.8000,33.5400,21996,,,,,,100,100,100,135
